Time,Open,High,Low,Close
2015.04.20 15:00,119.041,119.115,118.964,118.994
2015.04.20 16:00,118.993,119.128,118.978,119.08
2015.04.20 17:00,119.082,119.354,119.078,119.255
2015.04.20 18:00,119.253,119.324,119.201,119.275
2015.04.20 19:00,119.276,119.394,119.239,119.38
2015.04.20 20:00,119.381,119.433,119.365,119.401
2015.04.20 21:00,119.401,119.416,119.254,119.296
2015.04.20 22:00,119.297,119.308,119.214,119.241
2015.04.20 23:00,119.241,119.251,119.196,119.224
2015.04.21 01:00,119.248,119.28,119.215,119.258
2015.04.21 02:00,119.258,119.297,119.178,119.21
2015.04.21 03:00,119.212,119.425,119.212,119.315
2015.04.21 04:00,119.315,119.502,119.314,119.485
2015.04.21 05:00,119.484,119.486,119.369,119.377
2015.04.21 06:00,119.378,119.461,119.375,119.415
2015.04.21 07:00,119.415,119.448,119.373,119.416
2015.04.21 08:00,119.417,119.536,119.412,119.433
2015.04.21 09:00,119.433,119.519,119.428,119.471
2015.04.21 10:00,119.472,119.649,119.463,119.643
2015.04.21 11:00,119.642,119.798,119.541,119.602
2015.04.21 12:00,119.603,119.613,119.36,119.441
2015.04.21 13:00,119.439,119.46,119.366,119.433
2015.04.21 14:00,119.432,119.456,119.307,119.366
2015.04.21 15:00,119.365,119.45,119.33,119.424
2015.04.21 16:00,119.425,119.832,119.425,119.746
2015.04.21 17:00,119.745,119.774,119.473,119.527
2015.04.21 18:00,119.528,119.605,119.43,119.445
2015.04.21 19:00,119.446,119.54,119.439,119.538
2015.04.21 20:00,119.54,119.688,119.54,119.63
2015.04.21 21:00,119.629,119.729,119.593,119.716
2015.04.21 22:00,119.718,119.719,119.639,119.66
2015.04.21 23:00,119.659,119.679,119.612,119.663
2015.04.22 01:00,119.682,119.701,119.588,119.647
2015.04.22 02:00,119.648,119.734,119.585,119.658
2015.04.22 03:00,119.659,119.779,119.6,119.704
2015.04.22 04:00,119.704,119.741,119.622,119.666
2015.04.22 05:00,119.667,119.724,119.647,119.669
2015.04.22 06:00,119.668,119.687,119.633,119.638
2015.04.22 07:00,119.638,119.664,119.513,119.543
2015.04.22 08:00,119.543,119.572,119.447,119.558
2015.04.22 09:00,119.557,119.619,119.459,119.502
2015.04.22 10:00,119.501,119.654,119.485,119.583
